Carrier,Cabin,Subclass,ticket_price,change_fee,cancel_fee,miles_earned
OA1,Y,T,282,282,282,0
OA1,Y,E,282,282,282,987
OA1,Y,S,283,283,283,493
OA1,Y,U,283,283,283,493
OA1,Y,V,423,85,127,493
OA1,Y,G,480,96,144,493
OA1,Y,Q,565,113,169,493
OA1,Y,L,660,132,198,493
OA1,Y,K,708,0,71,987
OA1,Y,H,764,0,77,987
OA1,Y,M,812,0,81,0
OA1,Y,B,850,0,85,987
OA1,Y,Y,944,0,48,987
OA1,F,Z,1444,0,433,1283
OA1,F,D,1644,0,164,1283
OA1,F,C,1938,0,97,1283
OA1,F,A,2109,0,211,1480
OA1,F,F,2410,0,121,1480
OA1,F,P,2917,0,146,1480
OA2,Y,V,236,236,236,0
OA2,Y,G,282,282,282,0
OA2,Y,Z,282,282,282,0
OA2,Y,J,313,313,313,0
OA2,Y,T,329,329,329,0
OA2,Y,E,376,75,189,493
OA2,Y,N,378,75,189,0
OA2,Y,U,424,85,212,493
OA2,Y,X,472,48,236,493
OA2,Y,Q,566,57,114,493
OA2,Y,M,661,66,132,987
OA2,Y,L,709,0,71,987
OA2,Y,K,755,0,75,987
OA2,Y,H,803,0,80,987
OA2,Y,B,850,0,85,987
OA2,Y,Y,944,0,48,1234
OA2,F,F,1573,0,79,1974
Host,Y,G,199,199,199,0
Host,Y,Q,322,322,322,0
Host,Y,W,341,341,341,0
Host,Y,K,379,48,189,0
Host,Y,X,388,311,311,0
Host,Y,T,454,48,227,493
Host,Y,V,549,0,110,493
Host,Y,S,597,0,119,493
Host,Y,R,643,0,65,493
Host,Y,N,682,0,68,493
Host,Y,M,720,0,72,493
Host,Y,L,757,0,42,493
Host,Y,H,786,0,42,987
Host,Y,E,833,0,42,987
Host,Y,B,881,0,44,987
Host,Y,Y,947,0,0,1234
Host,F,P,1661,0,166,1234
Host,F,F,2555,0,0,1974
